,X1990,X1991,X1992,X1993,X1994,X1995,X1996,X1997,X1998,X1999,X2000,X2001,X2002,X2003,X2004,X2005,X2006,X2007,X2008,X2009,X2010,X2011,X2012,X2013,X2014
1,-0.752292993,-0.777109674,-0.778415816,-0.778415816,-0.778415816,-0.778415816,-0.778415816,-0.778415816,-0.778415816,-0.778415816,-0.778415816,-0.787558804,-0.787558804,-0.787558804,-0.787558804,-0.787558804,-0.787558804,-0.787558804,-0.787558804,-0.787558804,-0.787558804,-0.787558804,-0.787558804,-0.787558804,-0.787558804
2,-0.210244416,-0.244204085,-0.244204085,-0.244204085,-0.244204085,-0.24942865,-0.255959356,-0.255959356,-0.255959356,-0.255959356,-0.27163305,-0.279469896,-0.297755873,-0.297755873,-0.360450648,-0.438819117,-0.438819117,-0.438819117,-0.438819117,-0.438819117,-0.438819117,-0.441431399,-0.441431399,-0.441431399,-0.441431399
3,-0.55637182,-0.568127091,-0.568127091,-0.572045514,-0.572045514,-0.572045514,-0.572045514,-0.572045514,-0.572045514,-0.572045514,-0.572045514,-0.573351655,-0.621678878,-0.628209583,-0.65825083,-0.65825083,-0.675230665,-0.675230665,-0.675230665,-0.679149088,-0.679149088,-0.679149088,-0.679149088,-0.679149088,-0.679149088
4,0.242986563,0.176373365,0.138495271,0.138495271,0.138495271,0.138495271,0.138495271,0.13718913,0.13718913,0.13718913,0.13718913,0.13718913,0.126740001,0.126740001,0.126740001,0.126740001,0.126740001,0.126740001,0.124127719,0.124127719,0.122821578,0.11367859,0.11367859,0.11367859,0.11367859
5,-0.03391536,-0.03391536,-0.03391536,-0.03391536,-0.087467147,-0.088773289,-0.121426817,-0.121426817,-0.139712793,-0.139712793,-0.139712793,-0.139712793,-0.15799877,-0.20371371,-0.20371371,-0.206325992,-0.28338832,-0.284694461,-0.284694461,-0.284694461,-0.286000602,-0.286000602,-0.330409401,-0.330409401,-0.335633966
6,-0.242897944,-0.242897944,-0.254653215,-0.254653215,-0.254653215,-0.257265497,-0.257265497,-0.259877779,-0.299062014,-0.316041849,-0.316041849,-0.316041849,-0.316041849,-0.31734799,-0.376124342,-0.417920858,-0.419226999,-0.419226999,-0.419226999,-0.419226999,-0.423145423,-0.437512976,-0.438819117,-0.438819117,-0.438819117
7,1.17034678,1.169040639,1.094590593,1.094590593,1.094590593,1.094590593,1.094590593,1.094590593,1.094590593,1.094590593,1.091978311,1.091978311,1.091978311,1.091978311,1.017528265,1.017528265,1.017528265,1.017528265,1.016222124,0.978344031,0.978344031,0.978344031,0.978344031,0.978344031,0.978344031
8,0.626992061,0.626992061,0.626992061,0.626992061,0.596950815,0.596950815,0.596950815,0.596950815,0.596950815,0.596950815,0.596950815,0.553848157,0.553848157,0.553848157,0.553848157,0.553848157,0.521194628,0.521194628,0.521194628,0.521194628,0.521194628,0.521194628,0.521194628,0.521194628,0.521194628
9,0.342253291,0.342253291,0.342253291,0.342253291,0.342253291,0.342253291,0.342253291,0.342253291,0.342253291,0.342253291,0.327885738,0.290007645,0.287395363,0.287395363,0.287395363,0.287395363,0.287395363,0.287395363,0.287395363,0.287395363,0.287395363,0.287395363,0.287395363,0.287395363,0.287395363
10,-0.039139925,-0.039139925,-0.039139925,-0.039139925,-0.077018018,-0.077018018,-0.078324159,-0.078324159,-0.078324159,-0.078324159,-0.078324159,-0.078324159,-0.078324159,-0.078324159,-0.078324159,-0.078324159,-0.078324159,-0.078324159,-0.078324159,-0.078324159,-0.107059265,-0.112283829,-0.112283829,-0.112283829,-0.112283829
